Product Name,Category,Sale Amount,Date of Sale,Customer Age,Store Location,Payment Method
collection,Sport,282.04,2023-06-13,65,Henryburgh,Virement
plan,Sport,24.56,2024-10-06,24,Brendaburgh,Virement
institution,Mode,24.99,2023-07-22,71,Craigport,Carte de crédit
debate,Maison,762.56,2023-08-19,60,Morganview,PayPal
society,Électronique,1511.27,2023-10-09,59,Jamietown,Espèces
finally,Électronique,1160.13,2024-04-11,21,North Lee,Espèces
watch,Maison,1048.28,2024-01-31,56,North Tony,Virement
TV,Mode,5.25,2024-01-22,56,West Theresamouth,PayPal
study,Mode,167.03,2023-12-09,51,West Toddhaven,Virement
protect,Mode,1085.81,2025-01-01,43,Fullerhaven,Carte de crédit
line,Maison,155.94,2023-07-03,26,West Gavinbury,PayPal
care,Maison,263.23,2024-11-01,37,Morganfurt,PayPal
late,Mode,1954.45,2024-09-23,58,Ericastad,Virement
style,Mode,1316.92,2024-06-14,30,Port Shawn,Espèces
body,Alimentation,1222.73,2024-04-02,24,Cranemouth,Virement
blue,Maison,1192.92,2023-10-03,53,Brandonville,Virement
window,Sport,391.11,2024-04-25,55,Katherineton,PayPal
almost,Alimentation,836.18,2023-11-02,42,North Morganfurt,Espèces
another,Alimentation,158.35,2024-03-22,56,New Arthur,Espèces
deal,Électronique,852.23,2025-01-13,53,Lake Michelle,Carte de crédit
down,Mode,25.89,2024-07-03,74,South Lisamouth,Carte de crédit
job,Sport,946.13,2024-06-12,43,North Danaton,PayPal
Mrs,Sport,1212.72,2023-02-25,34,East Gina,Carte de crédit
get,Électronique,1133.23,2025-02-03,54,Burnsburgh,Carte de crédit
think,Sport,1674.09,2023-10-03,60,Lake Renee,Espèces
appear,Électronique,253.61,2024-09-11,70,West Davidbury,Virement
party,Maison,1741.71,2024-08-29,51,Billyfurt,Carte de crédit
father,Alimentation,1162.68,2023-08-31,65,Richardstad,Carte de crédit
state,Mode,1107.63,2024-05-17,60,Ashleybury,Carte de crédit
democratic,Électronique,1386.78,2025-01-20,32,Port Kathrynside,PayPal
Republican,Mode,1456.83,2023-11-23,35,Markville,Carte de crédit
sound,Sport,1617.09,2023-09-02,21,East Larryshire,Virement
fire,Sport,1494.53,2024-10-25,44,Nelsonhaven,Virement
international,Électronique,799.38,2024-08-21,24,Port Joel,Virement
fact,Sport,843.74,2024-11-05,71,West Heathershire,Carte de crédit
history,Mode,658.97,2023-04-29,46,Greenchester,PayPal
dinner,Maison,349.89,2024-08-04,43,North James,Carte de crédit
whatever,Électronique,960.56,2023-09-11,34,Port Destinyfurt,Carte de crédit
baby,Maison,1098.95,2024-05-09,35,North Adamtown,Espèces
cause,Électronique,547.51,2023-03-28,33,Jessicahaven,Carte de crédit
sure,Maison,1332.33,2024-05-25,34,Kevinview,Espèces
modern,Mode,705.54,2024-07-17,31,West Kimfurt,Virement
face,Alimentation,500.14,2024-01-11,71,North Ginaville,Virement
physical,Sport,582.46,2023-07-10,60,Thompsonville,Carte de crédit
employee,Mode,224.16,2024-07-07,61,East Stevenside,Virement
service,Alimentation,1631.68,2023-09-17,27,Russellland,Virement
show,Alimentation,1841.92,2024-12-14,72,Port Jeffrey,PayPal
country,Alimentation,153.86,2023-11-07,30,New Jim,Carte de crédit
goal,Sport,112.18,2023-07-23,22,South Eddie,Espèces
relate,Alimentation,1726.41,2024-05-09,45,North Lindseymouth,Virement
