Product Name,Sale Amount,Date of Sale,Customer Age
paper,1164.73,2024-02-29,73
eye,1456.67,2024-04-17,67
television,547.32,2023-11-16,64
deal,592.67,2023-08-13,29
film,1046.33,2023-03-18,72
other,1104.16,2023-06-11,35
interview,863.01,2024-08-14,45
feel,79.52,2023-04-02,51
minute,1820.02,2024-02-04,47
reality,1311.25,2023-09-03,67
kid,1989.11,2023-05-18,64
evidence,251.14,2024-08-09,44
because,1224.92,2025-01-12,32
election,1961.57,2024-08-15,50
talk,109.51,2023-11-13,29
front,1038.12,2024-08-02,47
page,1386.84,2024-03-30,70
body,625.27,2023-08-04,32
explain,881.94,2024-03-08,37
address,1265.38,2023-12-08,64
